iter	Passed	Remaining
0	59	59147
1	59	29713
2	59	19894
3	60	14978
4	60	12029
5	60	10070
6	61	8688
7	61	7645
8	61	6825
9	62	6172
10	62	5637
11	63	5197
12	63	4825
13	63	4502
14	64	4220
15	64	3974
16	64	3754
17	65	3556
18	65	3380
19	65	3220
20	65	3076
21	66	2945
22	66	2825
23	67	2727
24	67	2643
25	68	2552
26	68	2466
27	68	2389
28	70	2345
29	70	2281
30	71	2220
31	71	2161
32	71	2104
33	72	2049
34	72	1996
35	72	1947
36	73	1901
37	73	1857
38	73	1815
39	73	1774
40	74	1737
41	74	1700
42	74	1667
43	75	1635
44	75	1603
45	76	1576
46	76	1547
47	76	1519
48	76	1492
49	77	1467
50	77	1446
51	78	1425
52	78	1404
53	78	1383
54	79	1362
55	79	1347
56	80	1327
57	80	1308
58	80	1289
59	81	1270
60	81	1252
61	81	1235
62	81	1218
63	82	1201
64	82	1185
65	82	1170
66	82	1155
67	83	1140
68	83	1125
69	84	1128
70	85	1117
71	85	1103
72	86	1095
73	86	1082
74	86	1070
75	87	1058
76	87	1046
77	87	1035
78	87	1024
79	88	1014
80	88	1004
81	88	993
82	88	981
83	89	972
84	89	963
85	89	953
86	89	944
87	90	935
88	90	926
89	91	920
90	91	913
91	91	905
92	92	897
93	92	891
94	92	883
95	93	876
96	93	869
97	93	862
98	93	854
99	94	847
100	94	841
101	94	836
102	95	830
103	95	823
104	95	817
105	96	811
106	96	805
107	96	799
108	97	793
109	97	787
110	97	781
111	97	775
112	98	770
113	98	765
114	98	759
115	99	755
116	99	752
117	100	749
118	100	745
119	101	741
120	101	737
121	101	732
122	102	727
123	102	723
124	102	718
125	103	715
126	103	710
127	103	705
128	103	701
129	104	698
130	104	694
131	104	690
132	105	686
133	105	683
134	106	679
135	106	675
136	106	671
137	106	667
138	107	664
139	107	661
140	107	657
141	108	653
142	108	650
143	108	646
144	109	643
145	109	641
146	110	638
147	110	635
148	110	632
149	110	628
150	111	625
151	111	622
152	111	619
153	112	616
154	112	612
155	112	609
156	112	606
157	113	603
158	113	599
159	113	596
160	113	593
161	114	592
162	114	590
163	115	587
164	115	584
165	115	582
166	116	580
167	116	577
168	116	574
169	117	571
170	117	569
171	117	566
172	118	564
173	118	561
174	118	559
175	118	556
176	119	554
177	119	551
178	119	548
179	119	546
180	120	544
181	120	542
182	120	539
183	121	537
184	121	535
185	121	533
186	122	531
187	122	529
188	122	527
189	123	524
190	123	523
191	123	521
192	124	519
193	124	517
194	124	515
195	125	513
196	125	511
197	125	510
198	126	508
199	126	506
200	126	504
201	127	502
202	127	500
203	127	498
204	128	496
205	128	494
206	128	492
207	129	491
208	129	490
209	129	488
210	130	487
211	130	485
212	131	484
213	131	483
214	131	481
215	132	479
216	132	477
217	132	476
218	132	474
219	133	472
220	133	470
221	133	468
222	134	467
223	134	465
224	134	463
225	134	462
226	135	460
227	135	458
228	135	457
229	136	455
230	136	453
231	136	452
232	136	450
233	137	449
234	137	447
235	137	446
236	138	444
237	138	442
238	138	441
239	138	439
240	139	438
241	139	436
242	139	435
243	140	434
244	140	432
245	140	431
246	140	429
247	141	428
248	141	426
249	141	425
250	142	423
251	142	422
252	142	421
253	142	419
254	143	418
255	143	416
256	143	415
257	143	414
258	144	413
259	145	413
260	145	412
261	145	411
262	146	409
263	146	408
264	147	407
265	147	406
266	147	405
267	147	404
268	148	402
269	148	401
270	148	400
271	149	398
272	149	397
273	149	396
274	149	395
275	150	393
276	150	392
277	150	391
278	151	390
279	151	389
280	151	387
281	151	386
282	152	385
283	152	384
284	152	382
285	152	381
286	153	380
287	153	379
288	153	378
289	154	377
290	154	376
291	154	375
292	155	374
293	155	373
294	155	372
295	155	370
296	156	369
297	156	368
298	156	367
299	157	366
300	157	365
301	157	364
302	158	363
303	158	362
304	158	361
305	158	360
306	159	359
307	160	359
308	160	358
309	160	358
310	161	357
311	161	356
312	162	355
313	162	354
314	162	353
315	163	352
316	163	351
317	163	350
318	163	349
319	164	348
320	164	347
321	164	347
322	165	346
323	165	344
324	165	343
325	165	342
326	166	341
327	166	341
328	166	340
329	167	339
330	167	338
331	167	337
332	168	336
333	168	336
334	168	335
335	169	334
336	169	333
337	169	332
338	170	331
339	170	330
340	170	330
341	171	329
342	171	328
343	171	327
344	172	326
345	172	325
346	172	324
347	173	324
348	173	323
349	173	322
350	173	321
351	174	320
352	174	319
353	175	319
354	175	318
355	175	318
356	176	317
357	176	316
358	176	315
359	177	315
360	177	314
361	177	313
362	178	312
363	178	311
364	178	311
365	179	310
366	179	309
367	179	308
368	179	307
369	180	306
370	180	306
371	180	305
372	181	304
373	181	303
374	181	302
375	181	301
376	182	300
377	182	300
378	182	299
379	182	298
380	183	297
381	183	297
382	183	296
383	184	295
384	184	294
385	184	293
386	185	293
387	185	292
388	185	291
389	186	291
390	186	290
391	186	289
392	186	288
393	187	288
394	187	287
395	187	286
396	188	285
397	188	285
398	188	284
399	188	283
400	189	282
401	189	281
402	189	281
403	190	280
404	190	280
405	191	279
406	191	279
407	192	278
408	192	278
409	192	277
410	193	276
411	193	275
412	193	275
413	193	274
414	194	273
415	194	272
416	194	272
417	194	271
418	195	270
419	195	270
420	195	269
421	196	268
422	196	268
423	196	267
424	197	266
425	197	266
426	197	265
427	198	264
428	198	264
429	198	263
430	198	262
431	199	262
432	199	261
433	199	260
434	200	260
435	200	259
436	200	258
437	201	258
438	201	257
439	202	257
440	202	256
441	202	255
442	202	255
443	203	254
444	203	253
445	203	253
446	204	252
447	204	252
448	205	251
449	205	251
450	205	250
451	206	250
452	206	249
453	206	248
454	207	248
455	207	247
456	208	247
457	208	246
458	208	246
459	208	245
460	209	244
461	209	243
462	209	243
463	210	242
464	210	241
465	210	241
466	210	240
467	211	240
468	211	239
469	211	238
470	212	238
471	212	237
472	212	236
473	212	236
474	213	235
475	213	235
476	213	234
477	214	233
478	214	233
479	214	232
480	215	232
481	215	231
482	215	231
483	216	231
484	217	230
485	217	229
486	217	229
487	218	228
488	218	228
489	218	227
490	218	226
491	219	226
492	219	225
493	219	225
494	219	224
495	220	224
496	221	223
497	221	223
498	222	222
499	222	222
500	222	221
501	223	221
502	223	220
503	223	220
504	223	219
505	224	218
506	224	218
507	224	217
508	225	217
509	225	216
510	225	216
511	226	215
512	226	214
513	226	214
514	227	213
515	227	213
516	227	212
517	227	212
518	228	211
519	228	210
520	228	210
521	228	209
522	229	209
523	229	208
524	229	208
525	230	207
526	230	207
527	231	206
528	231	206
529	231	205
530	232	205
531	232	204
532	232	204
533	233	203
534	233	202
535	233	202
536	233	201
537	234	201
538	234	200
539	234	199
540	235	199
541	235	199
542	236	198
543	236	198
544	236	197
545	237	197
546	237	196
547	237	196
548	238	195
549	238	195
550	238	194
551	238	193
552	239	193
553	239	192
554	239	192
555	239	191
556	240	191
557	240	190
558	240	189
559	241	189
560	241	188
561	241	188
562	241	187
563	242	187
564	242	186
565	242	186
566	243	185
567	243	185
568	243	184
569	243	183
570	244	183
571	244	182
572	244	182
573	244	181
574	245	181
575	245	180
576	245	180
577	245	179
578	246	179
579	246	178
580	246	178
581	247	177
582	247	176
583	247	176
584	248	175
585	248	175
586	248	174
587	248	174
588	249	173
589	249	173
590	249	172
591	249	172
592	250	171
593	250	171
594	251	171
595	251	170
596	252	170
597	252	169
598	252	169
599	253	168
600	253	168
601	253	167
602	253	167
603	254	166
604	254	166
605	254	165
606	255	165
607	255	164
608	255	164
609	256	163
610	256	163
611	256	162
612	256	162
613	257	161
614	257	161
615	257	160
616	258	160
617	258	159
618	258	159
619	259	158
620	259	158
621	259	157
622	259	157
623	260	156
624	260	156
625	260	155
626	261	155
627	261	154
628	261	154
629	262	153
630	262	153
631	262	152
632	263	152
633	263	152
634	263	151
635	263	151
636	264	150
637	264	150
638	264	149
639	264	149
640	265	148
641	265	148
642	265	147
643	266	147
644	266	146
645	267	146
646	267	146
647	268	145
648	268	145
649	268	144
650	269	144
651	269	143
652	269	143
653	269	142
654	270	142
655	270	141
656	270	141
657	271	140
658	271	140
659	271	140
660	272	139
661	272	139
662	272	138
663	272	138
664	273	137
665	273	137
666	273	136
667	273	136
668	274	135
669	274	135
670	274	134
671	274	134
672	275	133
673	275	133
674	275	132
675	276	132
676	276	131
677	276	131
678	277	131
679	277	130
680	277	130
681	277	129
682	278	129
683	278	128
684	278	128
685	279	127
686	279	127
687	279	126
688	279	126
689	280	125
690	280	125
691	280	124
692	281	124
693	281	124
694	282	123
695	282	123
696	283	123
697	283	122
698	283	122
699	283	121
700	284	121
701	284	120
702	284	120
703	285	119
704	285	119
705	285	118
706	286	118
707	286	118
708	286	117
709	286	117
710	287	116
711	287	116
712	287	115
713	288	115
714	288	114
715	288	114
716	288	114
717	289	113
718	289	113
719	289	112
720	289	112
721	290	111
722	290	111
723	290	110
724	291	110
725	291	109
726	291	109
727	291	109
728	292	108
729	292	108
730	292	107
731	293	107
732	293	106
733	293	106
734	294	106
735	294	105
736	294	105
737	294	104
738	295	104
739	295	103
740	295	103
741	296	102
742	296	102
743	296	102
744	297	101
745	297	101
746	298	100
747	298	100
748	298	100
749	299	99
750	299	99
751	299	98
752	299	98
753	300	97
754	300	97
755	300	97
756	300	96
757	301	96
758	301	95
759	301	95
760	302	94
761	302	94
762	302	94
763	302	93
764	303	93
765	303	92
766	303	92
767	304	91
768	304	91
769	304	91
770	305	90
771	305	90
772	305	89
773	305	89
774	306	88
775	306	88
776	306	88
777	306	87
778	307	87
779	307	86
780	307	86
781	308	85
782	308	85
783	308	85
784	309	84
785	309	84
786	309	83
787	309	83
788	310	82
789	310	82
790	310	82
791	310	81
792	311	81
793	311	80
794	311	80
795	312	79
796	312	79
797	313	79
798	313	78
799	314	78
800	314	78
801	314	77
802	314	77
803	315	76
804	315	76
805	315	76
806	316	75
807	316	75
808	316	74
809	316	74
810	317	73
811	317	73
812	317	73
813	318	72
814	318	72
815	318	71
816	318	71
817	319	71
818	319	70
819	319	70
820	319	69
821	320	69
822	320	68
823	320	68
824	321	68
825	321	67
826	321	67
827	321	66
828	322	66
829	322	66
830	322	65
831	323	65
832	323	64
833	323	64
834	324	64
835	324	63
836	324	63
837	324	62
838	325	62
839	325	61
840	325	61
841	325	61
842	326	60
843	326	60
844	326	59
845	326	59
846	327	59
847	327	58
848	327	58
849	328	58
850	329	57
851	329	57
852	329	56
853	330	56
854	330	56
855	330	55
856	331	55
857	331	54
858	331	54
859	331	54
860	332	53
861	332	53
862	332	52
863	332	52
864	333	52
865	333	51
866	333	51
867	334	50
868	334	50
869	334	50
870	334	49
871	335	49
872	335	48
873	335	48
874	335	47
875	336	47
876	336	47
877	336	46
878	336	46
879	337	45
880	337	45
881	337	45
882	337	44
883	338	44
884	338	43
885	338	43
886	339	43
887	339	42
888	339	42
889	340	42
890	340	41
891	340	41
892	341	40
893	342	40
894	342	40
895	342	39
896	343	39
897	343	39
898	344	38
899	344	38
900	344	37
901	345	37
902	345	37
903	345	36
904	346	36
905	346	35
906	346	35
907	346	35
908	347	34
909	347	34
910	347	33
911	348	33
912	348	33
913	348	32
914	349	32
915	349	32
916	349	31
917	350	31
918	350	30
919	350	30
920	351	30
921	351	29
922	351	29
923	351	28
924	352	28
925	352	28
926	352	27
927	353	27
928	353	27
929	353	26
930	353	26
931	354	25
932	354	25
933	354	25
934	355	24
935	355	24
936	355	23
937	355	23
938	356	23
939	356	22
940	356	22
941	356	21
942	357	21
943	357	21
944	357	20
945	357	20
946	358	20
947	358	19
948	359	19
949	359	18
950	360	18
951	360	18
952	360	17
953	361	17
954	361	17
955	361	16
956	362	16
957	362	15
958	362	15
959	362	15
960	363	14
961	363	14
962	363	13
963	364	13
964	364	13
965	364	12
966	364	12
967	365	12
968	365	11
969	365	11
970	366	10
971	366	10
972	366	10
973	366	9
974	367	9
975	367	9
976	367	8
977	368	8
978	368	7
979	368	7
980	369	7
981	369	6
982	369	6
983	370	6
984	370	5
985	370	5
986	370	4
987	371	4
988	371	4
989	371	3
990	371	3
991	372	3
992	372	2
993	372	2
994	373	1
995	373	1
996	373	1
997	374	0
998	374	0
999	374	0
